#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
2 2.25 3 3.5 9.25 9.5 78.52915341491408 0.01472597928625419
2 2.25 3 3.5 9.5 9.75 71.71135140212327 0.01331145253617194
2 2.25 3 3.5 9.75 10 65.61928041656667 0.01204426098686895
2 2.25 3 3.5 10 20 816.4226724526153 0.3409070547248803
2 2.25 3.5 4 0 0.25 575884.5501467439 882.354841138027
2 2.25 3.5 4 0.25 0.5 1660168.64887215 1047.493870279964
2 2.25 3.5 4 0.5 0.75 2554523.800641278 1595.157138017293
2 2.25 3.5 4 0.75 1 3171068.830666419 1947.199950185362
2 2.25 3.5 4 1 1.25 3434866.553219156 2290.670433742733
2 2.25 3.5 4 1.25 1.5 3138561.416170446 1837.410216979028
2 2.25 3.5 4 1.5 1.75 2377893.351249273 1151.183860961688
2 2.25 3.5 4 1.75 2 1502766.059817119 495.2240248747931
2 2.25 3.5 4 2 2.25 792957.4483988052 95.73410949261303
2 2.25 3.5 4 2.25 2.5 347782.7759931479 46.38002616472545
2 2.25 3.5 4 2.5 2.75 125283.4837001245 52.2682665874221
2 2.25 3.5 4 2.75 3 36270.67671465454 26.82221100593467
2 2.25 3.5 4 3 3.25 8146.226702263652 2.160705095489963
2 2.25 3.5 4 3.25 3.5 1705.687704719001 0.5359263414017411
2 2.25 3.5 4 3.5 3.75 1562.949249152779 0.4573490668232717
2 2.25 3.5 4 3.75 4 1291.68631538096 0.3825664314736059
2 2.25 3.5 4 4 4.25 1067.303203852316 0.3161457976411839
2 2.25 3.5 4 4.25 4.5 889.1557534576094 0.2599048350601834
2 2.25 3.5 4 4.5 4.75 746.3626522865386 0.2134347178080134
2 2.25 3.5 4 4.75 5 630.8944986607482 0.1753740980660723
2 2.25 3.5 4 5 5.25 536.7555329959243 0.1442437139231743
2 2.25 3.5 4 5.25 5.5 459.4181853971669 0.1189719208327915
2 2.25 3.5 4 5.5 5.75 395.4296949555841 0.09847765187413415
2 2.25 3.5 4 5.75 6 342.1331379430749 0.08179422145769877
2 2.25 3.5 4 6 6.25 297.4655845418568 0.06826958820312257
2 2.25 3.5 4 6.25 6.5 259.8119624889525 0.05714109968664616
2 2.25 3.5 4 6.5 6.75 227.8968869777204 0.05287027201100614
2 2.25 3.5 4 6.75 7 200.7062716156682 0.04888781308352463
2 2.25 3.5 4 7 7.25 177.4280637677033 0.04501110704282496
2 2.25 3.5 4 7.25 7.5 157.4080904171285 0.04131178726649409
2 2.25 3.5 4 7.5 7.75 140.1158731793955 0.03782926467789594
2 2.25 3.5 4 7.75 8 125.1187293341489 0.03458365854663725
